2025-04-13 14:08:21,742 - DEBUG - Dokument 109: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,743 - DEBUG - Dokument 110: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,743 - DEBUG - Dokument 111: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,743 - DEBUG - Dokument 112: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,743 - DEBUG - Dokument 113: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,743 - DEBUG - Dokument 114: data=2025-04-02, datasp=2025-04-02, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,743 - DEBUG - Dokument 115: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,743 - DEBUG - Dokument 116: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,743 - DEBUG - Dokument 117: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,743 - DEBUG - Dokument 118: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,743 - DEBUG - Dokument 119: data=2025-04-02, datasp=2025-04-02, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,743 - DEBUG - Dokument 120: data=2025-04-02, datasp=2025-04-02, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
